propertyCode,url,address,size,floor,province,municipality,district,price,rooms,hasLift,hasParking,hasTerrace,hasSwimmingPool,hasAirConditioning,hasGarden,bathrooms
106071251,https://www.idealista.com/inmueble/106071251/,"calle de Barbieri, 8",103.0,4,Madrid,Madrid,Centro,595000.0,2,True,,False,False,True,False,2
106134199,https://www.idealista.com/inmueble/106134199/,subdistrict Quintana,56.0,2,Madrid,Madrid,Ciudad Lineal,259000.0,2,False,,True,False,False,False,1
103952448,https://www.idealista.com/inmueble/103952448/,paseo de La Habana,420.0,,Madrid,Madrid,Chamartín,3110000.0,5,,True,True,True,True,True,5
106226512,https://www.idealista.com/inmueble/106226512/,"calle de Modesto Lafuente, 65",157.0,5,Madrid,Madrid,Chamberí,1565000.0,3,True,,True,False,True,False,3
105725419,https://www.idealista.com/inmueble/105725419/,calle Bola del Mundo,320.0,,Madrid,Madrid,Moncloa,1250000.0,5,,True,True,True,True,True,5
105829686,https://www.idealista.com/inmueble/105829686/,calle de la Povedilla,94.0,4,Madrid,Madrid,Barrio de Salamanca,889000.0,3,True,,False,False,True,False,2
105528344,https://www.idealista.com/inmueble/105528344/,calle del Rollo,115.0,1,Madrid,Madrid,Centro,890000.0,2,True,True,False,False,True,False,2
104437905,https://www.idealista.com/inmueble/104437905/,"calle de Numancia, 2",350.0,6,Madrid,Madrid,Tetuán,1700000.0,4,True,True,True,True,True,True,3
105449412,https://www.idealista.com/inmueble/105449412/,calle de Castelló,117.0,4,Madrid,Madrid,Barrio de Salamanca,1195000.0,2,True,,True,False,True,False,2
104484357,https://www.idealista.com/inmueble/104484357/,calle de la Madre de Dios,886.0,,Madrid,Madrid,Chamartín,4700000.0,6,,True,True,True,True,True,7
105527162,https://www.idealista.com/inmueble/105527162/,"calle Arzobispo Morcillo, 14",160.0,5,Madrid,Madrid,Fuencarral,750000.0,4,True,True,True,True,True,True,2
103355651,https://www.idealista.com/inmueble/103355651/,calle de Játiva,105.0,7,Madrid,Madrid,Retiro,670000.0,3,True,,False,True,True,False,2
105743974,https://www.idealista.com/inmueble/105743974/,calle de Fuencarral,257.0,3,Madrid,Madrid,Centro,2560000.0,4,True,,True,False,True,False,4
105924592,https://www.idealista.com/inmueble/105924592/,calle del Alcalde Sainz de Baranda,115.0,5,Madrid,Madrid,Retiro,895000.0,3,True,True,True,False,True,False,2
104400450,https://www.idealista.com/inmueble/104400450/,subdistrict Fuentelarreina,862.0,,Madrid,Madrid,Fuencarral,1970000.0,9,,True,True,False,True,True,9
105968310,https://www.idealista.com/inmueble/105968310/,calle de Bailén,164.0,4,Madrid,Madrid,Centro,1100000.0,3,True,,,,True,,2
103666203,https://www.idealista.com/inmueble/103666203/,"avenida de América, 37",236.0,2,Madrid,Madrid,Chamartín,1100000.0,3,True,True,False,False,True,False,3
